name,description,shortDescription,sku,stock,category,subcategory,subsubcategory,status,featured,newArrival,todaysSpecial,delivery_type,brand,air_purifying,pet_friendly,seoTitle,seoDescription,seoKeywords,slug,mainImage,galleryImages,imagePersonalization,textPersonalization,features,badges,price,discounted_price,variants
Type 1,Type 1 description,Short for Type 1,type-1-001,100,Cakes,Cakes BYTYPE,Type 1,TRUE,FALSE,FALSE,FALSE,same_day,BrandA,FALSE,FALSE,Type 1 SEO Title,Type 1 SEO Desc,Type 1 keywords,type-1,type-1.png,"[type-1-g1.png,type-1-g2.png]",TRUE,TRUE,Premium,Featured,499,399,"[{""label"":""Default"",""price"":""499"",""originalPrice"":""399"",""isDefault"":true,""weight"":""1kg"",""serves"":""8""}]"
Type 2,Type 2 description,Short for Type 2,type-2-002,100,Cakes,Cakes BYTYPE,Type 2,TRUE,FALSE,FALSE,FALSE,same_day,BrandA,FALSE,FALSE,Type 2 SEO Title,Type 2 SEO Desc,Type 2 keywords,type-2,type-2.png,"[type-2-g1.png,type-2-g2.png]",TRUE,TRUE,Premium,Featured,499,399,"[{""label"":""Default"",""price"":""499"",""originalPrice"":""399"",""isDefault"":true,""weight"":""1kg"",""serves"":""8""}]"
Type 3,Type 3 description,Short for Type 3,type-3-003,100,Cakes,Cakes BYTYPE,Type 3,TRUE,FALSE,FALSE,FALSE,same_day,BrandA,FALSE,FALSE,Type 3 SEO Title,Type 3 SEO Desc,Type 3 keywords,type-3,type-3.png,"[type-3-g1.png,type-3-g2.png]",TRUE,TRUE,Premium,Featured,499,399,"[{""label"":""Default"",""price"":""499"",""originalPrice"":""399"",""isDefault"":true,""weight"":""1kg"",""serves"":""8""}]"
Type 4,Type 4 description,Short for Type 4,type-4-004,100,Cakes,Cakes BYTYPE,Type 4,TRUE,FALSE,FALSE,FALSE,same_day,BrandA,FALSE,FALSE,Type 4 SEO Title,Type 4 SEO Desc,Type 4 keywords,type-4,type-4.png,"[type-4-g1.png,type-4-g2.png]",TRUE,TRUE,Premium,Featured,499,399,"[{""label"":""Default"",""price"":""499"",""originalPrice"":""399"",""isDefault"":true,""weight"":""1kg"",""serves"":""8""}]"
Type 5,Type 5 description,Short for Type 5,type-5-005,100,Cakes,Cakes BYTYPE,Type 5,TRUE,FALSE,FALSE,FALSE,same_day,BrandA,FALSE,FALSE,Type 5 SEO Title,Type 5 SEO Desc,Type 5 keywords,type-5,type-5.png,"[type-5-g1.png,type-5-g2.png]",TRUE,TRUE,Premium,Featured,499,399,"[{""label"":""Default"",""price"":""499"",""originalPrice"":""399"",""isDefault"":true,""weight"":""1kg"",""serves"":""8""}]"
Flavor 1,Flavor 1 description,Short for Flavor 1,flavor-1-006,100,Cakes,Cakes BYFLAVOR,Flavor 1,TRUE,FALSE,FALSE,FALSE,same_day,BrandA,FALSE,FALSE,Flavor 1 SEO Title,Flavor 1 SEO Desc,Flavor 1 keywords,flavor-1,flavor-1.png,"[flavor-1-g1.png,flavor-1-g2.png]",TRUE,TRUE,Premium,Featured,499,399,"[{""label"":""Default"",""price"":""499"",""originalPrice"":""399"",""isDefault"":true,""weight"":""1kg"",""serves"":""8""}]"
Flavor 2,Flavor 2 description,Short for Flavor 2,flavor-2-007,100,Cakes,Cakes BYFLAVOR,Flavor 2,TRUE,FALSE,FALSE,FALSE,same_day,BrandA,FALSE,FALSE,Flavor 2 SEO Title,Flavor 2 SEO Desc,Flavor 2 keywords,flavor-2,flavor-2.png,"[flavor-2-g1.png,flavor-2-g2.png]",TRUE,TRUE,Premium,Featured,499,399,"[{""label"":""Default"",""price"":""499"",""originalPrice"":""399"",""isDefault"":true,""weight"":""1kg"",""serves"":""8""}]"
Flavor 3,Flavor 3 description,Short for Flavor 3,flavor-3-008,100,Cakes,Cakes BYFLAVOR,Flavor 3,TRUE,FALSE,FALSE,FALSE,same_day,BrandA,FALSE,FALSE,Flavor 3 SEO Title,Flavor 3 SEO Desc,Flavor 3 keywords,flavor-3,flavor-3.png,"[flavor-3-g1.png,flavor-3-g2.png]",TRUE,TRUE,Premium,Featured,499,399,"[{""label"":""Default"",""price"":""499"",""originalPrice"":""399"",""isDefault"":true,""weight"":""1kg"",""serves"":""8""}]"
Flavor 4,Flavor 4 description,Short for Flavor 4,flavor-4-009,100,Cakes,Cakes BYFLAVOR,Flavor 4,TRUE,FALSE,FALSE,FALSE,same_day,BrandA,FALSE,FALSE,Flavor 4 SEO Title,Flavor 4 SEO Desc,Flavor 4 keywords,flavor-4,flavor-4.png,"[flavor-4-g1.png,flavor-4-g2.png]",TRUE,TRUE,Premium,Featured,499,399,"[{""label"":""Default"",""price"":""499"",""originalPrice"":""399"",""isDefault"":true,""weight"":""1kg"",""serves"":""8""}]"
Flavor 5,Flavor 5 description,Short for Flavor 5,flavor-5-010,100,Cakes,Cakes BYFLAVOR,Flavor 5,TRUE,FALSE,FALSE,FALSE,same_day,BrandA,FALSE,FALSE,Flavor 5 SEO Title,Flavor 5 SEO Desc,Flavor 5 keywords,flavor-5,flavor-5.png,"[flavor-5-g1.png,flavor-5-g2.png]",TRUE,TRUE,Premium,Featured,499,399,"[{""label"":""Default"",""price"":""499"",""originalPrice"":""399"",""isDefault"":true,""weight"":""1kg"",""serves"":""8""}]"
