category_name,category_id,subcategory_name,subcategory_id,subsubcategory_name,subsubcategory_id
Balloons,,Balloons BYCOLOR,,Anniversary Balloons,
Cakes,,Cakes BYFLAVOR,,25th Anniversary Cakes,
Chocolates,,Chocolates BYBRAND,,Cadbury Chocolates,
Combos,,Combos BYBRAND,,Brand 1,
Dry Fruits,,Dry Fruits BYBRAND,,Almonds,
Flowers,,Flowers BYCOLOR,,Red Flowers,
Gifts,,Gifts BYBRAND,,Friendship Gifts,
Personalized,,Personalized BYBRAND,,Personalized Cushions,
Plants,,Plants BYVARIETY,,Bonsai Plants,
Sweets,,Sweets BYFLAVOR,,Motichoor Ladoo
